Date,Open,High,Low,Close,Adj Close,Volume
2022-04-21,0.000063,0.000230,0.000020,0.000024,0.000024,2125465
2022-04-22,0.000024,0.000024,0.000013,0.000015,0.000015,2144424
2022-04-23,0.000015,0.000015,0.000013,0.000014,0.000014,68015
2022-04-24,0.000014,0.000014,0.000000,0.000000,0.000000,131856
2022-04-25,0.000000,0.000009,0.000000,0.000007,0.000007,1963343
2022-04-26,0.000007,0.000009,0.000001,0.000001,0.000001,4119696
2022-04-27,0.000001,0.000003,0.000001,0.000001,0.000001,2759406
2022-04-28,0.000001,0.000003,0.000001,0.000002,0.000002,1148534
2022-04-29,0.000002,0.000003,0.000001,0.000002,0.000002,895958
2022-04-30,0.000002,0.000002,0.000001,0.000002,0.000002,532297
2022-05-01,0.000002,0.000002,0.000001,0.000001,0.000001,388777
2022-05-02,0.000001,0.000002,0.000001,0.000001,0.000001,242332
2022-05-03,0.000001,0.000001,0.000001,0.000001,0.000001,149555
2022-05-04,0.000001,0.000001,0.000001,0.000001,0.000001,128356
2022-05-05,0.000001,0.000001,0.000000,0.000001,0.000001,67034
2022-05-06,0.000001,0.000001,0.000000,0.000001,0.000001,51680
2022-05-07,0.000001,0.000001,0.000000,0.000000,0.000000,46294
2022-05-08,0.000000,0.000001,0.000000,0.000000,0.000000,28945
2022-05-09,0.000000,0.000000,0.000000,0.000000,0.000000,19073
2022-05-10,0.000000,0.000000,0.000000,0.000000,0.000000,12401
2022-05-11,0.000000,0.000000,0.000000,0.000000,0.000000,13159
2022-05-12,0.000000,0.000000,0.000000,0.000000,0.000000,15880
2022-05-13,0.000000,0.000001,0.000000,0.000000,0.000000,21664
2022-05-14,0.000000,0.000000,0.000000,0.000000,0.000000,24283
2022-05-15,0.000000,0.000000,0.000000,0.000000,0.000000,19864
2022-05-16,0.000000,0.000002,0.000000,0.000001,0.000001,173029
2022-05-17,0.000001,0.000001,0.000000,0.000000,0.000000,250649
2022-05-18,0.000000,0.000001,0.000000,0.000001,0.000001,115590
2022-05-19,0.000001,0.000001,0.000000,0.000001,0.000001,62288
2022-05-20,0.000001,0.000001,0.000000,0.000001,0.000001,33853
2022-05-21,0.000001,0.000001,0.000000,0.000000,0.000000,22909
2022-05-22,0.000000,0.000000,0.000000,0.000000,0.000000,14992
2022-05-23,0.000000,0.000000,0.000000,0.000000,0.000000,14685
2022-05-24,0.000000,0.000000,0.000000,0.000000,0.000000,16984
2022-05-25,0.000000,0.000000,0.000000,0.000000,0.000000,16986
2022-05-26,0.000000,0.000000,0.000000,0.000000,0.000000,12989
2022-05-27,0.000000,0.000000,0.000000,0.000000,0.000000,9655
2022-05-28,0.000000,0.000000,0.000000,0.000000,0.000000,10165
2022-05-29,0.000000,0.000000,0.000000,0.000000,0.000000,13365
2022-05-30,0.000000,0.000000,0.000000,0.000000,0.000000,11768
2022-05-31,0.000000,0.000000,0.000000,0.000000,0.000000,9335
2022-06-01,0.000000,0.000000,0.000000,0.000000,0.000000,12706
2022-06-02,0.000000,0.000000,0.000000,0.000000,0.000000,10291
2022-06-03,0.000000,0.000000,0.000000,0.000000,0.000000,5025
2022-06-04,0.000000,0.000000,0.000000,0.000000,0.000000,4036
2022-06-05,0.000000,0.000001,0.000000,0.000000,0.000000,12606
2022-06-06,0.000000,0.000001,0.000000,0.000000,0.000000,28857
2022-06-07,0.000000,0.000000,0.000000,0.000000,0.000000,11261
2022-06-08,0.000000,0.000000,0.000000,0.000000,0.000000,3684
2022-06-09,0.000000,0.000000,0.000000,0.000000,0.000000,3676
2022-06-10,0.000000,0.000000,0.000000,0.000000,0.000000,4018
